Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
TN8.DE,Thermo Fisher Scientific Inc.,489.80,+6.30,+1.30%,142,176,188.926B,34.28
ABL.F,Abbott Laboratories,95.68,+0.73,+0.77%,20,175,169.732B,31.27
ABL.DE,Abbott Laboratories,96.92,+1.98,+2.09%,248,372,171.949B,32.09
DAP.F,Danaher Corporation,221.80,+2.20,+1.00%,715,411,164.124B,26.06
DAP.DE,Danaher Corporation,220.60,+0.10,+0.05%,106,803,162.781B,25.68
BRM.F,Bristol-Myers Squibb Company,60.00,+1.20,+2.04%,84,368,127.864B,19.17
BRM.DE,Bristol-Myers Squibb Company,60.00,+1.10,+1.87%,209,685,127.647B,19.11
SNW.F,Sanofi,96.32,+1.92,+2.03%,"1,442","1,059",120.291B,14.31
SNW.DE,Sanofi,96.13,+1.80,+1.91%,"1,479","3,643",120.054B,14.48
SNW2.F,Sanofi,47.40,+0.40,+0.85%,4,5,118.393B,14.28
AMG.F,Amgen Inc.,210.20,+4.20,+2.04%,212,204,112.44B,14.93
2M6.F,Medtronic plc,81.58,+0.78,+0.97%,513,"1,481",109.365B,31.38
AMG.DE,Amgen Inc.,209.00,+2.60,+1.26%,260,408,112.126B,15.18
2M6.DE,Medtronic plc,81.70,+1.22,+1.52%,"1,130","1,697",109.962B,31.67
IUI1.F,"Intuitive Surgical, Inc.",301.00,+0.70,+0.23%,86,65,106.591B,87.50
SYK.F,Stryker Corporation,270.40,+1.50,+0.56%,61,293,102.724B,40.60
A58.F,"Elevance Health, Inc.",406.00,+8.00,+2.01%,3,8,96.245B,17.17
GIS.F,"Gilead Sciences, Inc.",72.08,+0.34,+0.47%,"1,393",363,90.854B,17.67
GIS.DE,"Gilead Sciences, Inc.",71.92,+0.48,+0.67%,"2,207","3,141",90.399B,17.63
CSJA.F,CSL Limited,86.50,-1.00,-1.14%,60,0,84.488B,46.51
CSJ.F,CSL Limited,173.55,-1.80,-1.03%,67,19,84.025B,46.53
VX1.DE,Vertex Pharmaceuticals Incorporated,318.90,+3.55,+1.13%,54,58,82.599B,27.21
VX1.F,Vertex Pharmaceuticals Incorporated,317.95,+1.10,+0.35%,1,22,82.576B,26.83
CVS.F,CVS Health Corporation,63.32,-0.20,-0.31%,160,201,81.279B,24.64
CVS.DE,CVS Health Corporation,62.74,-0.26,-0.41%,"1,200",505,80.435B,24.04
CVS0.F,CVS Health Corporation,12.00,+0.40,+3.45%,N/A,0,76.032B,4.30
ESL.F,EssilorLuxottica Société anonyme,170.22,+3.84,+2.31%,218,203,75.792B,34.74
CGN.DE,The Cigna Group,246.30,+4.40,+1.82%,3,23,74.859B,12.72
2BH.F,"HCA Healthcare, Inc.",263.70,+2.60,+1.00%,17,1,74.556B,14.62
ESL.DE,EssilorLuxottica Société anonyme,167.20,+0.70,+0.42%,22,125,74.448B,34.26
ESLC.F,EssilorLuxottica Société anonyme,82.00,-0.50,-0.61%,35,0,73.683B,33.74
ZOE.F,Zoetis Inc.,155.90,-0.55,-0.35%,7,95,72.582B,38.30
CGN.F,The Cigna Group,244.90,-3.60,-1.45%,25,27,72.459B,11.96
MRKC.SG,Merck KGaA,33.00,+0.80,+2.48%,0,6,73.164B,22.92
ZOE.DE,Zoetis Inc.,156.55,+1.10,+0.71%,33,144,72.344B,38.00
MRK.F,Merck KGaA,166.60,+2.10,+1.28%,189,720,72.302B,22.92
MRK.DE,Merck KGaA,166.25,+2.05,+1.25%,"785,982","327,675",72.282B,22.81
BSX.DE,Boston Scientific Corporation,49.86,+0.94,+1.92%,20,279,73.92B,89.04
BSX.F,Boston Scientific Corporation,48.84,+0.07,+0.14%,89,40,71.17B,85.68
BOX.DE,"Becton, Dickinson and Company",237.50,+4.00,+1.71%,60,67,67.454B,45.85
BOX.F,"Becton, Dickinson and Company",233.00,0.00,0.00%,10,26,66.546B,45.78
GS70.F,GSK plc,31.80,0.00,0.00%,80,5,66.066B,12.62
GS71.F,GSK plc,15.84,-0.11,-0.71%,232,"2,225",65.461B,12.67
GS71.DE,GSK plc,15.94,-0.15,-0.91%,"25,882","42,881",65.274B,12.65
SHL.F,Siemens Healthineers AG,53.10,+0.66,+1.26%,140,663,59.44B,39.63
D4S.F,"Daiichi Sankyo Company, Limited",30.87,-1.13,-3.53%,18,38,59.171B,154.35
SHL.DE,Siemens Healthineers AG,52.80,+0.28,+0.53%,1.745M,"760,405",59.104B,39.40
SHL1.F,Siemens Healthineers AG,25.80,-0.20,-0.77%,159,25,57.761B,37.39
HUM.F,Humana Inc.,413.20,-7.90,-1.88%,17,3,51.717B,20.27
BAYN.F,Bayer Aktiengesellschaft,52.45,+0.51,+0.98%,"48,741","5,707",51.528B,16.97
BAYN.DE,Bayer Aktiengesellschaft,52.33,+0.52,+1.00%,4.699M,2.156M,51.41B,16.94
EWL.DE,Edwards Lifesciences Corporation,84.78,+2.16,+2.61%,27,273,51.395B,34.89
EWL.F,Edwards Lifesciences Corporation,84.60,+0.54,+0.64%,125,113,51.286B,35.10
BAYA.F,Bayer Aktiengesellschaft,12.80,0.00,0.00%,80,96,50.899B,16.84
MCK.F,McKesson Corporation,365.00,+3.00,+0.83%,6,5,49.462B,15.67
CUP.F,"Chugai Pharmaceutical Co., Ltd.",28.00,+1.40,+5.26%,20,39,47.273B,22.40
TKD.F,Takeda Pharmaceutical Company Limited,29.67,+0.31,+1.06%,220,245,46.694B,21.98
DC4.F,"DexCom, Inc.",119.18,+0.40,+0.34%,110,15,46.67B,172.72
TKDA.F,Takeda Pharmaceutical Company Limited,14.50,-0.10,-0.68%,100,14,45.825B,21.32
0QF.F,"Moderna, Inc.",117.00,+1.86,+1.62%,655,458,46.438B,10.62
CUP0.MU,"Chugai Pharmaceutical Co., Ltd.",13.60,0.00,0.00%,41,0,45.242B,21.25
0QF.MU,"Moderna, Inc.",117.30,+0.50,+0.43%,15,43,45.896B,10.54
LO3A.F,Lonza Group AG,57.50,+1.00,+1.77%,150,12,43.271B,35.06
HYB0.F,HOYA Corporation,111.00,-4.00,-3.48%,100,0,40.08B,35.46
IDP.DE,Biogen Inc.,274.20,+5.20,+1.93%,352,221,40.528B,14.93
HYB.F,HOYA Corporation,112.50,-4.00,-3.43%,35,2,39.967B,35.71
IDP.F,Biogen Inc.,270.20,+1.40,+0.52%,8,35,39.967B,14.69
H6D.F,Haleon plc,7.90,+0.45,+6.04%,50,91,37.59B,28.21
H6D0.F,Haleon plc,3.9495,+0.1715,+4.54%,495,"3,037",37.101B,28.21
QTS.F,IQVIA Holdings Inc.,196.80,-1.00,-0.51%,25,107,36.809B,37.27
2BH.MU,"HCA Healthcare, Inc.",260.80,0.00,0.00%,8,0,86.433B,25.13
IX1.F,"IDEXX Laboratories, Inc.",439.00,-0.70,-0.16%,3,2,36.439B,54.94
AG8.F,"Agilent Technologies, Inc.",111.20,+1.45,+1.32%,25,50,34.504B,27.19
SGT.F,Seagen Inc.,180.50,+0.60,+0.33%,405,29,34.081B,N/A
ABG.F,AmerisourceBergen Corporation,164.38,+0.56,+0.34%,18,1,33.925B,22.77
ABG.SG,AmerisourceBergen Corporation,166.18,+2.98,+1.83%,0,10,33.597B,22.98
L0T.SG,GE HealthCare Technologies Inc.,72.00,0.00,0.00%,133,292,33.336B,20.75
L0T.F,GE HealthCare Technologies Inc.,73.00,+1.00,+1.39%,327,394,33.333B,20.74
QEN.F,Centene Corporation,60.15,+0.60,+1.01%,85,26,33.008B,25.38
VEE.F,Veeva Systems Inc.,182.75,+4.00,+2.24%,25,17,30.087B,61.33
L0T.DU,GE HealthCare Technologies Inc.,72.50,+1.50,+2.11%,63,4,32.903B,18.45
ILU.F,"Illumina, Inc.",187.68,-3.96,-2.07%,4,16,29.896B,N/A
VEE.DE,Veeva Systems Inc.,184.15,+6.25,+3.51%,318,57,29.883B,60.98
ILU.DE,"Illumina, Inc.",188.48,-1.00,-0.53%,117,87,29.799B,N/A
RME.F,ResMed Inc.,200.60,+3.20,+1.62%,25,15,29.578B,36.88
H6D.SG,Haleon plc,7.45,+0.05,+0.68%,225,60,35.822B,20.69
RMEA.F,ResMed Inc.,19.70,-0.10,-0.51%,250,9,29.504B,36.48
ZIM.F,"Zimmer Biomet Holdings, Inc.",129.95,-0.80,-0.61%,43,9,27.104B,61.01
MTO.F,Mettler-Toledo International Inc.,"1,216.00",+4.00,+0.33%,2,1,26.807B,32.63
MTO.DE,Mettler-Toledo International Inc.,"1,214.00",+14.00,+1.17%,8,0,26.763B,32.78
YPH.F,Astellas Pharma Inc.,14.52,-0.05,-0.34%,200,49,26.729B,29.64
YPHA.F,Astellas Pharma Inc.,14.40,-0.40,-2.70%,300,5,26.243B,28.80
56S1.F,Sartorius Stedim Biotech S.A.,275.90,0.00,0.00%,11,22,25.426B,34.84
W8A.F,"Walgreens Boots Alliance, Inc.",29.92,+0.58,+1.96%,"4,355",730,25.811B,N/A
W8A.DE,"Walgreens Boots Alliance, Inc.",29.43,+0.12,+0.43%,801,"2,406",25.396B,N/A
56S0.F,Sartorius Stedim Biotech S.A.,26.60,+0.20,+0.76%,300,5,25.312B,36.94
WPS.F,"West Pharmaceutical Services, Inc.",334.80,+12.60,+3.91%,2,1,25.005B,49.53
22UA.F,BioNTech SE,103.00,-1.75,-1.67%,378,"1,993",24.822B,4.15
CBHD.F,Coloplast A/S,116.90,+3.25,+2.86%,146,200,24.886B,38.58
WPS.DE,"West Pharmaceutical Services, Inc.",327.00,0.00,0.00%,4,1,24.597B,45.54
CBH.F,Coloplast A/S,11.20,+0.10,+0.90%,50,14,24.341B,37.33
DUL.F,"Alnylam Pharmaceuticals, Inc.",183.60,+1.60,+0.88%,8,1,23.477B,N/A
1FW2.F,WuXi Biologics (Cayman) Inc.,5.55,-0.08,-1.42%,480,320,23.429B,39.61
1FW1.F,WuXi Biologics (Cayman) Inc.,10.70,+0.30,+2.88%,30,0,24.217B,38.21
AFW.F,"Align Technology, Inc.",299.45,-4.95,-1.63%,50,16,23.121B,76.00
QS50.F,Straumann Holding AG,13.50,0.00,0.00%,400,7,22.351B,48.21
SRT0.F,Sartorius Aktiengesellschaft,66.00,+1.00,+1.54%,320,0,22.577B,40.00
SRT.DE,Sartorius Aktiengesellschaft,295.50,+10.50,+3.68%,"11,290","4,194",22.358B,34.44
SRT3.F,Sartorius Aktiengesellschaft,355.80,+13.30,+3.88%,271,214,22.401B,42.21
SRT.F,Sartorius Aktiengesellschaft,289.00,+14.00,+5.09%,1,39,22.661B,34.69
TUO0.MU,Terumo Corporation,29.80,0.00,0.00%,5,0,22.099B,38.21
SRT3.DE,Sartorius Aktiengesellschaft,355.50,+10.10,+2.92%,"332,226","91,527",22.194B,42.02
TUO.F,Terumo Corporation,29.80,0.00,0.00%,204,5,21.951B,38.21
SRT4.F,Sartorius Aktiengesellschaft,54.00,+1.50,+2.86%,40,0,22.18B,32.73
HPR.F,Horizon Therapeutics Public Limited Company,92.60,+0.30,+0.33%,10,6,21.322B,62.99
CLH.F,"Cardinal Health, Inc.",81.06,+1.08,+1.35%,25,17,20.638B,51.30
BTL.F,Baxter International Inc.,40.25,+0.25,+0.63%,50,22,20.5B,N/A
1AE.F,argenx SE,365.40,+2.80,+0.77%,13,1,20.435B,N/A
8ZN.F,JD Health International Inc.,6.33,+0.19,+3.06%,220,58,20.24B,316.65
1AEA.F,argenx SE,356.00,0.00,0.00%,1,0,20.278B,N/A
OS1.F,"Otsuka Holdings Co., Ltd.",35.40,-0.20,-0.56%,1,6,19.689B,17.27
49BA.F,"BeiGene, Ltd.",181.00,+1.00,+0.56%,21,1,18.953B,N/A
OLY1.F,Olympus Corporation,14.89,+0.41,+2.87%,100,86,18.658B,20.11
LAB.F,Laboratory Corporation of America Holdings,210.00,+2.00,+0.96%,35,0,18.606B,19.92
49B.F,"BeiGene, Ltd.",13.40,+0.70,+5.51%,117,13,19.1B,N/A
HO1.F,"Hologic, Inc.",73.90,+0.20,+0.27%,100,1,18.371B,26.58
GOV.F,Insulet Corporation,259.20,-1.70,-0.65%,40,5,18.152B,N/A
EII.F,"Eisai Co., Ltd.",61.96,+0.34,+0.55%,1,35,18.103B,27.06
PHI1.DE,Koninklijke Philips N.V.,18.73,+0.03,+0.17%,"11,312","20,527",17.25B,N/A
PHI1.F,Koninklijke Philips N.V.,18.82,+0.11,+0.57%,435,"2,531",17.332B,N/A
VIA.MU,Viatris Inc.,9.00,+0.06,+0.65%,16,12,11.07B,17.45
IJF.F,ICON Public Limited Company,211.30,-1.20,-0.56%,30,25,17.392B,35.87
BM8.DE,BioMarin Pharmaceutical Inc.,87.66,+0.56,+0.64%,88,16,16.454B,250.46
PHIA.F,Koninklijke Philips N.V.,18.20,+0.10,+0.55%,200,37,17.262B,N/A
BM8.F,BioMarin Pharmaceutical Inc.,87.20,+0.26,+0.30%,22,6,16.368B,242.22
CP6.F,"The Cooper Companies, Inc.",335.00,+0.50,+0.15%,5,2,16.796B,61.58
UNC0.F,UCB SA,41.60,+0.40,+0.97%,4,0,16.069B,39.25
UNC.F,UCB SA,84.74,+1.06,+1.27%,117,49,16.116B,39.97
EXK.F,Exact Sciences Corporation,86.61,+1.03,+1.20%,32,22,15.631B,N/A
MHG.F,"Molina Healthcare, Inc.",256.50,+4.50,+1.79%,16,0,15.385B,19.99
4YC.MU,"M3, Inc.",21.60,0.00,0.00%,100,0,14.866B,45.96
FRE.DE,Fresenius SE & Co. KGaA,25.86,+0.37,+1.45%,4.206M,1.287M,14.565B,11.24
FRE.F,Fresenius SE & Co. KGaA,25.63,+0.08,+0.31%,"6,469","2,035",14.436B,11.00
WAZ.F,Waters Corporation,244.00,+2.00,+0.83%,40,3,14.404B,21.69
PHBA.F,Sonova Holding AG,47.80,+0.40,+0.84%,2,18,14.243B,22.13
FREA.F,Fresenius SE & Co. KGaA,6.30,0.00,0.00%,100,15,14.357B,10.86
QDI.F,Quest Diagnostics Incorporated,125.15,-0.55,-0.44%,7,8,14.018B,19.55
PKN.F,"Revvity, Inc.",108.30,+2.10,+1.98%,20,30,13.735B,41.81
NPW1.F,Smith & Nephew plc,14.60,+0.07,+0.45%,150,55,13.475B,60.83
NPWA.F,Smith & Nephew plc,29.00,0.00,0.00%,20,5,13.393B,60.42
RPD.MU,Royalty Pharma plc,29.69,-0.19,-0.64%,40,0,13.307B,42.41
0YX.F,Sysmex Corporation,62.00,-1.00,-1.59%,22,9,13.276B,41.61
0YX0.F,Sysmex Corporation,31.20,-0.60,-1.89%,5,0,13.218B,42.16
RPD.F,Royalty Pharma plc,29.23,-0.10,-0.34%,100,62,13.101B,41.76
FMEA.F,Fresenius Medical Care AG & Co. KGaA,21.20,0.00,0.00%,9,74,12.593B,20.58
ICY.F,Incyte Corporation,56.96,+0.36,+0.64%,105,18,12.808B,42.51
FME.DE,Fresenius Medical Care AG & Co. KGaA,43.46,+0.54,+1.26%,1.877M,"628,617",12.752B,21.41
FME.F,Fresenius Medical Care AG & Co. KGaA,42.56,-0.42,-0.98%,100,770,12.488B,20.46
SH00.MU,"Shionogi & Co., Ltd.",10.30,0.00,0.00%,100,1,12.249B,9.20
ESF0.F,Eurofins Scientific SE,61.08,+1.04,+1.73%,100,242,11.806B,19.70
SH0.F,"Shionogi & Co., Ltd.",40.00,0.00,0.00%,130,26,12.033B,8.99
0P8.F,"Penumbra, Inc.",306.00,-2.00,-0.65%,17,1,11.857B,"2,040.00"
9LB.F,Legend Biotech Corporation,64.00,-1.50,-2.29%,33,4,11.62B,N/A
TE1.F,Bio-Techne Corporation,71.50,+2.00,+2.88%,60,0,11.404B,47.35
AB3A.F,"Sarepta Therapeutics, Inc.",119.65,-0.35,-0.29%,59,26,11.251B,N/A
VIA.DE,Viatris Inc.,9.30,+0.33,+3.65%,"1,795","5,354",11.232B,6.20
VIA.F,Viatris Inc.,9.34,+0.41,+4.55%,168,728,11.194B,6.22
TBH.F,Teleflex Incorporated,224.00,+2.00,+0.90%,15,0,10.939B,31.15
EYWN.F,bioMérieux S.A.,91.84,+0.62,+0.68%,15,0,10.868B,24.10
SAB0.MU,Sonic Healthcare Limited,22.00,0.00,0.00%,N/A,0,10.341B,16.54
SAB.F,Sonic Healthcare Limited,21.84,+0.28,+1.30%,200,109,10.306B,16.30
08HH.F,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",2.4610,+0.0100,+0.41%,100,206,9.758B,11.19
BKD.F,Bruker Corporation,68.50,-0.50,-0.72%,155,11,10.051B,35.68
AFX.F,Carl Zeiss Meditec AG,112.00,+0.50,+0.45%,155,275,10.017B,36.01
AFX.DE,Carl Zeiss Meditec AG,111.50,+0.30,+0.27%,"167,246","127,852",9.973B,35.97
AFXA.F,Carl Zeiss Meditec AG,108.00,0.00,0.00%,10,4,9.946B,34.73
OC5.F,Cochlear Limited,150.74,+1.62,+1.09%,31,2,9.927B,61.03
BUWA.F,"Bio-Rad Laboratories, Inc.",343.00,+2.00,+0.59%,4,2,10.051B,N/A
BUW.F,"Bio-Rad Laboratories, Inc.",334.00,-4.00,-1.18%,6,1,10.002B,N/A
36M.F,"Shockwave Medical, Inc.",269.10,-2.90,-1.07%,11,3,9.903B,44.33
CVG.F,CSPC Pharmaceutical Group Limited,0.7982,+0.0282,+3.66%,"2,500",804,9.809B,11.40
UHS.F,"Universal Health Services, Inc.",134.00,-1.00,-0.74%,32,1,9.802B,14.87
RV6.F,"Charles River Laboratories International, Inc.",190.00,-0.70,-0.37%,500,11,9.789B,21.16
OC50.F,Cochlear Limited,74.50,+0.50,+0.68%,42,0,9.789B,59.60
QIA.DE,Qiagen N.V.,42.63,+0.34,+0.80%,"988,465","508,083",9.875B,30.02
QIA.F,Qiagen N.V.,42.56,+0.40,+0.95%,131,305,9.89B,29.97
UTH.F,United Therapeutics Corporation,208.00,+0.60,+0.29%,10,2,9.746B,15.08
08HH.SG,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",2.4430,+0.0190,+0.78%,0,160,9.794B,11.63
KY4.F,"Kyowa Kirin Co., Ltd.",17.50,+0.20,+1.16%,57,4,9.679B,29.17
CVGU.F,CSPC Pharmaceutical Group Limited,3.0600,+0.1000,+3.38%,25,7,9.61B,11.33
X2S1.F,Sinopharm Group Co. Ltd.,14.80,-0.50,-3.27%,220,2,9.386B,8.55
1JK.F,"Apellis Pharmaceuticals, Inc.",80.50,-2.00,-2.42%,6,20,9.395B,N/A
X2S.F,Sinopharm Group Co. Ltd.,2.9920,-0.0920,-2.98%,"1,000","2,674",9.414B,8.55
I7G.F,Ipsen S.A.,112.30,+1.80,+1.63%,13,15,9.295B,15.51
3KY.F,Hansoh Pharmaceutical Group Company Limited,1.5600,+0.0300,+1.96%,100,0,9.377B,26.00
RER1.F,Recordati Industria Chimica e Farmaceutica S.p.A.,44.20,-0.02,-0.05%,9,1,9.233B,27.45
S1R.F,"Shanghai Pharmaceuticals Holding Co., Ltd",1.7500,+0.0100,+0.57%,20,20,9.605B,8.75
RDDA.F,Dr. Reddy's Laboratories Limited,55.00,+2.00,+3.77%,44,15,9.311B,18.21
I7G0.F,Ipsen S.A.,26.40,0.00,0.00%,10,0,9.034B,14.59
HS2.F,"Henry Schein, Inc.",68.94,+0.08,+0.12%,30,31,9.031B,20.89
NB3.F,"Neurocrine Biosciences, Inc.",90.00,+3.62,+4.19%,50,8,8.782B,150.00
ON4.F,"Ono Pharmaceutical Co., Ltd.",17.40,+0.40,+2.35%,5,0,8.744B,11.76
ON40.MU,"Ono Pharmaceutical Co., Ltd.",5.95,0.00,0.00%,N/A,0,8.716B,11.67
WDH1.F,Demant A/S,37.95,-0.64,-1.66%,260,109,8.498B,27.50
ON4.MU,"Ono Pharmaceutical Co., Ltd.",17.10,0.00,0.00%,300,5,8.643B,11.10
WDH.F,Demant A/S,18.50,-0.20,-1.07%,22,0,8.645B,27.21
SMZ1.F,Sino Biopharmaceutical Limited,0.4461,-0.0059,-1.31%,75,534,8.391B,22.31
RGN.F,Repligen Corporation,150.20,+3.20,+2.18%,44,3,8.363B,55.22
RMY0.F,Ramsay Health Care Limited,8.65,+0.05,+0.58%,N/A,0,8.315B,43.25
RMY.F,Ramsay Health Care Limited,36.20,+0.20,+0.56%,120,0,8.313B,44.15
TWYA.F,Alibaba Health Information Technology Limited,11.70,+0.40,+3.54%,1,15,8.516B,106.36
TWY.F,Alibaba Health Information Technology Limited,0.5924,+0.0044,+0.75%,"2,084",817,8.286B,59.24
2DR.F,"Inspire Medical Systems, Inc.",284.00,0.00,0.00%,20,0,8.285B,N/A
TWY.SG,Alibaba Health Information Technology Limited,0.6016,+0.0202,+3.47%,0,"1,076",8.51B,60.16
AXNA.F,Amplifon S.p.A.,35.22,+0.62,+1.79%,150,70,8.054B,45.74
YP1A.SG,Immutep Limited,1.8500,+0.1400,+8.19%,0,103,5.598B,N/A
TRL.F,DaVita Inc.,88.42,-1.16,-1.29%,170,6,8.032B,18.23
3M4.F,Masimo Corporation,147.20,-2.05,-1.37%,30,6,7.839B,70.43
49B.SG,"BeiGene, Ltd.",13.60,+0.90,+7.09%,0,8,10.727B,N/A
87N.F,Stevanato Group S.p.A.,29.40,+1.60,+5.76%,640,4,7.866B,55.47
TEV.F,Teva Pharmaceutical Industries Limited,6.86,-0.10,-1.44%,"6,013","2,971",7.755B,N/A
5HZ1.F,"Hangzhou Tigermed Consulting Co., Ltd",6.05,-0.10,-1.63%,78,11,7.508B,19.52
DY2.F,DENTSPLY SIRONA Inc.,36.06,+1.00,+2.85%,20,13,7.727B,N/A
J7Z.F,Jazz Pharmaceuticals plc,116.60,+0.10,+0.09%,50,2,7.533B,N/A
THC1.F,Tenet Healthcare Corporation,71.00,-0.50,-0.70%,98,23,7.425B,19.19
CXM.F,Chemed Corporation,490.00,0.00,0.00%,3,1,7.4B,32.49
G0F.F,"Grifols, S.A.",5.40,-0.20,-3.57%,N/A,0,7.327B,33.75
87S.F,Roivant Sciences Ltd.,8.65,+0.05,+0.58%,400,9,7.18B,N/A
0C8.F,"Catalent, Inc.",39.45,-0.60,-1.50%,100,71,7.139B,164.38
AGT.F,"AptarGroup, Inc.",105.60,0.00,0.00%,316,71,6.961B,32.69
G0F0.F,"Grifols, S.A.",8.01,-0.23,-2.79%,22,5,6.931B,25.02
GU5.F,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,2.7000,-0.0400,-1.46%,"1,613",0,6.828B,9.00
G0FB.F,"Grifols, S.A.",7.90,-0.30,-3.66%,500,137,6.595B,24.69
OZTA.F,"Grifols, S.A.",11.20,-0.24,-2.14%,160,353,6.699B,35.00
6IB.F,"Innovent Biologics, Inc.",4.2400,+0.3000,+7.61%,40,0,6.603B,N/A
6HL0.F,R1 RCM Inc.,15.30,-0.40,-2.55%,50,0,6.505B,N/A
01P.F,"Medpace Holdings, Inc.",202.00,0.00,0.00%,3,4,6.206B,27.71
1KJ.F,"10x Genomics, Inc.",52.70,+0.60,+1.15%,20,32,6.365B,N/A
7RA.F,"Acadia Healthcare Company, Inc.",66.00,-1.50,-2.22%,30,1,6.377B,23.08
S2L.F,Bausch + Lomb Corporation,17.80,+0.20,+1.14%,200,0,6.343B,N/A
7K90.F,"Asymchem Laboratories (Tianjin) Co., Ltd.",11.60,+0.20,+1.75%,272,4,6.182B,9.51
SMZ1.SG,Sino Biopharmaceutical Limited,0.4440,+0.0054,+1.23%,"5,120",351,3.574B,13.45
HSOA.F,Encompass Health Corporation,58.50,-0.50,-0.85%,7,0,5.987B,22.24
GTN.F,Getinge AB (publ),21.65,+0.41,+1.93%,20,16,6.025B,26.73
GTN0.MU,Getinge AB (publ),21.40,0.00,0.00%,55,0,5.837B,26.75
B6E.F,Swedish Orphan Biovitrum AB (publ),19.35,+0.45,+2.38%,500,17,5.748B,21.03
UK2.F,Shandong Weigao Group Medical Polymer Company Limited,1.2000,-0.0100,-0.83%,"4,019",70,5.684B,15.00
EX9.F,"Exelixis, Inc.",17.51,+0.33,+1.92%,20,10,5.704B,40.73
23I.F,"Intra-Cellular Therapies, Inc.",58.20,-0.50,-0.85%,45,10,5.638B,N/A
OFK0.F,Orion Oyj,18.80,0.00,0.00%,20,0,5.606B,16.21
0L8.F,"Lantheus Holdings, Inc.",81.96,+2.40,+3.02%,15,48,5.831B,N/A
07Z0.F,"Lepu Medical Technology (Beijing) Co., Ltd.",14.00,-0.10,-0.71%,N/A,0,5.553B,87.50
OFK.F,Orion Oyj,38.76,-0.76,-1.92%,300,14,5.486B,16.08
HM6A.SG,Hypera S.A.,8.25,+0.10,+1.23%,0,3,5.513B,16.18
GM0N.F,"Globus Medical, Inc.",53.50,+1.50,+2.88%,4,0,5.509B,29.08
ISI.F,"Ionis Pharmaceuticals, Inc.",38.01,+0.38,+1.01%,25,39,5.439B,N/A
34D.F,DiaSorin S.p.A.,100.60,+3.64,+3.75%,20,7,5.433B,29.33
QL1A.F,QuidelOrtho Corporation,79.48,+1.16,+1.48%,104,2,5.382B,N/A
6XT.F,"Asahi Intecc Co., Ltd.",18.40,+0.20,+1.10%,100,1,5.098B,54.12
673.F,"Cerevel Therapeutics Holdings, Inc.",31.80,+0.60,+1.92%,6,0,5.063B,N/A
640.F,China Resources Pharmaceutical Group Limited,0.8050,-0.0050,-0.62%,"7,000",175,5.081B,10.06
