Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM),Type
AOC.F,Aluminum Corporation of China Limited,0.4315,0.0236,+5.79%,"80,000","1,616",11.53B,14.38,Basic Materials
DG3.F,Celanese Corporation,105.6,-1.4,-1.31%,50,10,11.488B,8.11,Basic Materials
SOL0.F,Solvay SA,10.4,0.0,0.00%,200,3,11.479B,6.15,Basic Materials
32Z.F,South32 Limited,2.48,0.004,+0.16%,"1,000",742,11.278B,5.39,Basic Materials
SOL.F,Solvay SA,107.15,1.2,+1.13%,70,7,11.39B,6.33,Basic Materials
JHA0.F,James Hardie Industries plc,24.2,0.4,+1.68%,300,0,11.308B,22.0,Basic Materials
JHA.F,James Hardie Industries plc,25.0,0.2,+0.81%,240,4,11.203B,22.32,Basic Materials
BNRA.SG,Brenntag SE,14.0,0.0,0.00%,0,0,11.028B,12.61,Basic Materials
BNR.DE,Brenntag SE,71.56,0.72,+1.02%,"150,948","442,192",11.025B,12.94,Basic Materials
BNRA.F,Brenntag SE,14.0,-0.5,-3.45%,100,25,10.953B,12.61,Basic Materials
BNR.F,Brenntag SE,71.02,-2.86,-3.87%,410,207,10.944B,12.84,Basic Materials
AOCA.F,Aluminum Corporation of China Limited,10.4,0.7,+7.22%,100,23,10.935B,13.33,Basic Materials
02M.DE,The Mosaic Company,32.54,0.0,0.00%,993,604,10.807B,4.41,Basic Materials
2220.F,Tianqi Lithium Corporation,6.5,0.17,+2.72%,150,68,10.716B,3.23,Basic Materials
02M.F,The Mosaic Company,31.88,-0.58,-1.79%,76,89,10.588B,4.12,Basic Materials
ND50.MU,Nitto Denko Corporation,35.6,0.0,0.00%,,0,10.287B,13.69,Basic Materials
ND5.F,Nitto Denko Corporation,69.5,-1.0,-1.42%,24,39,10.07B,13.34,Basic Materials
IYAA.F,Ivanhoe Mines Ltd.,8.12,0.18,+2.27%,185,313,10.026B,21.38,Basic Materials
RP8.F,RPM International Inc.,76.5,0.5,+0.66%,45,2,9.95B,20.13,Basic Materials
CEXB.F,"CEMEX, S.A.B. de C.V.",0.68,0.01,+1.49%,750,"1,488",9.852B,17.0,Basic Materials
NS7.F,Northern Star Resources Limited,8.38,0.32,+3.97%,"4,400","1,488",9.711B,69.83,Basic Materials
NS70.F,Northern Star Resources Limited,8.3,0.35,+4.40%,100,0,9.702B,69.17,Basic Materials
CEXA.F,"CEMEX, S.A.B. de C.V.",6.65,-0.05,-0.75%,40,175,9.673B,17.97,Basic Materials
ENUN.F,Stora Enso Oyj,11.92,0.18,+1.53%,315,75,9.492B,6.48,Basic Materials
AOD.F,AngloGold Ashanti Limited,22.2,0.2,+0.91%,200,"1,616",9.439B,33.64,Basic Materials
AOD1.F,AngloGold Ashanti Limited,22.2,0.2,+0.91%,400,"2,015",9.397B,33.64,Basic Materials
AODC.F,AngloGold Ashanti Limited,4.32,0.04,+0.93%,660,225,9.394B,33.23,Basic Materials
ENUR.F,Stora Enso Oyj,11.69,-0.38,-3.11%,250,"1,318",9.304B,6.36,Basic Materials
ENU.F,Stora Enso Oyj,12.28,-0.14,-1.13%,450,10,9.165B,6.71,Basic Materials
ENUA.F,Stora Enso Oyj,12.5,-0.4,-3.10%,100,28,9.152B,6.61,Basic Materials
51C.F,Chr. Hansen Holding A/S,68.16,0.54,+0.80%,70,9,9.093B,39.63,Basic Materials
PLR.F,Pilbara Minerals Limited,3.0,0.108,+3.73%,"2,500","9,738",9.088B,8.33,Basic Materials
6CMB.F,Croda International Plc,64.0,0.0,0.00%,300,5,9.087B,11.85,Basic Materials
EAC.F,Eastman Chemical Company,75.6,0.08,+0.11%,2,23,9.008B,14.05,Basic Materials
S190.MU,"Sumitomo Metal Mining Co., Ltd.",8.05,0.0,0.00%,200,3,8.937B,4.79,Basic Materials
F5J.F,Mineral Resources Limited,45.88,1.9,+4.31%,200,37,8.929B,18.13,Basic Materials
F5J0.F,Mineral Resources Limited,45.8,2.0,+4.57%,40,0,8.923B,18.1,Basic Materials
SCA0.F,Svenska Cellulosa Aktiebolaget SCA (publ),12.0,-0.2,-1.64%,82,0,8.88B,15.79,Basic Materials
NPX.F,Nippon Sanso Holdings Corporation,19.88,-0.24,-1.19%,"2,740",216,8.762B,19.68,Basic Materials
ASA.F,Asahi Kasei Corporation,12.3,0.0,0.00%,,0,8.743B,14.82,Basic Materials
S19.F,"Sumitomo Metal Mining Co., Ltd.",31.8,0.0,0.00%,120,60,8.738B,4.7,Basic Materials
ASAA.F,Asahi Kasei Corporation,6.25,-0.07,-1.11%,795,48,8.717B,14.87,Basic Materials
GDUA.F,Gerdau S.A.,4.98,0.12,+2.47%,100,57,8.705B,3.92,Basic Materials
SCA1.F,Svenska Cellulosa Aktiebolaget SCA (publ),12.5,0.12,+0.97%,30,22,8.683B,16.23,Basic Materials
KUI.F,Kumba Iron Ore Limited,26.2,0.8,+3.15%,9,11,8.582B,11.34,Basic Materials
SCA.SG,Svenska Cellulosa Aktiebolaget SCA (publ),12.16,-0.51,-3.99%,330,372,8.497B,15.79,Basic Materials
EVKA.F,Evonik Industries AG,8.55,-0.15,-1.72%,150,2,8.376B,28.5,Basic Materials
SCA.F,Svenska Cellulosa Aktiebolaget SCA (publ),12.11,-0.39,-3.08%,840,934,8.37B,15.73,Basic Materials
EVK.F,Evonik Industries AG,17.79,-0.03,-0.17%,"1,200","2,911",8.32B,29.65,Basic Materials
SAO.F,Sasol Limited,13.0,0.2,+1.56%,100,36,8.301B,4.21,Basic Materials
SAOA.F,Sasol Limited,13.05,0.0,0.00%,"2,000",179,8.301B,4.24,Basic Materials
EVK.DE,Evonik Industries AG,17.68,-0.18,-1.04%,"171,630","835,538",8.239B,29.97,Basic Materials
IU2.F,Yara International ASA,32.21,-0.07,-0.22%,110,"1,080",8.207B,4.73,Basic Materials
GDUB.F,Gerdau S.A.,4.78,0.0,0.00%,798,"1,374",8.193B,3.85,Basic Materials
1CO1.F,Covestro AG,20.0,0.1,+0.50%,52,0,8.168B,,Basic Materials
WCH.DE,Wacker Chemie AG,124.05,2.55,+2.10%,"45,700","168,937",8.139B,5.34,Basic Materials
WCH.F,Wacker Chemie AG,123.9,5.0,+4.21%,85,420,8.129B,5.29,Basic Materials
IU20.F,Yara International ASA,15.9,0.2,+1.27%,930,44,8.1B,4.37,Basic Materials
1COV.F,Covestro AG,40.56,-0.14,-0.34%,254,"1,719",8.057B,,Basic Materials
1COV.DE,Covestro AG,40.41,-0.48,-1.17%,"406,317","992,258",8.03B,,Basic Materials
CVA.F,Cleveland-Cliffs Inc.,15.2,-0.17,-1.11%,"4,500",186,7.827B,16.7,Basic Materials
INX.F,IMCD N.V.,133.4,-0.6,-0.45%,14,2,7.589B,24.39,Basic Materials
JFR.F,"JFE Holdings, Inc.",12.9,-0.1,-0.77%,527,50,7.661B,5.08,Basic Materials
M3C0.F,Mitsubishi Chemical Group Corporation,25.8,0.0,0.00%,100,0,7.647B,16.02,Basic Materials
SHJ.F,AGC Inc.,33.8,-0.2,-0.59%,331,29,7.56B,,Basic Materials
M3C.F,Mitsubishi Chemical Group Corporation,5.2,-0.08,-1.51%,"1,960",48,7.541B,16.27,Basic Materials
BWJ0.F,Boliden AB (publ),54.0,-0.5,-0.92%,40,0,7.404B,8.33,Basic Materials
T5Z.F,Ternium S.A.,37.4,-0.2,-0.53%,72,4,7.342B,5.75,Basic Materials
KYCA.F,Mondi plc,29.6,0.2,+0.68%,15,0,7.308B,6.05,Basic Materials
KYC.F,Mondi plc,14.9,0.1,+0.68%,400,55,7.235B,5.96,Basic Materials
H0Q.F,China Hongqiao Group Limited,0.7316,0.0038,+0.52%,555,41,7.18B,6.1,Basic Materials
IDZ.F,IGO Limited,9.33,0.15,+1.68%,110,142,7.126B,13.14,Basic Materials
IDZ1.F,IGO Limited,18.5,0.3,+1.65%,500,8,7.116B,12.67,Basic Materials
JIX.F,Jiangxi Copper Company Limited,1.46,-0.02,-1.35%,200,116,7.071B,6.08,Basic Materials
RG3.F,"Royal Gold, Inc.",106.35,-0.6,-0.56%,34,35,7.027B,32.23,Basic Materials
SKWC.F,SSAB AB (publ),6.67,-0.05,-0.80%,10,40,7.005B,,Basic Materials
SKWA.F,SSAB AB (publ),6.84,-0.06,-0.81%,5,219,6.974B,,Basic Materials
IPH1.F,Impala Platinum Holdings Limited,7.75,0.0,0.00%,385,463,6.815B,3.97,Basic Materials
IPHB.F,Impala Platinum Holdings Limited,7.78,0.28,+3.73%,"1,050","1,958",6.713B,4.14,Basic Materials
SKW.MU,SSAB AB (publ),3.18,0.0,0.00%,200,0,6.664B,,Basic Materials
9AX.F,Axalta Coating Systems Ltd.,29.4,-0.2,-0.68%,135,3,6.584B,33.03,Basic Materials
3O10.F,Allkem Limited,9.97,0.25,+2.57%,738,"12,322",6.357B,14.04,Basic Materials
V1S.F,Arkema S.A.,84.1,-0.16,-0.19%,120,5,6.339B,8.52,Basic Materials
XI9.F,Xinyi Glass Holdings Limited,1.484,0.036,+2.49%,"2,500",164,6.269B,9.89,Basic Materials
OLN.DE,Olin Corporation,47.58,0.0,0.00%,1,7,6.152B,6.78,Basic Materials
GXD.F,Lundin Mining Corporation,7.51,0.11,+1.49%,73,297,6.151B,27.8,Basic Materials
BH5.F,BlueScope Steel Limited,13.2,0.2,+1.54%,150,18,6.13B,5.76,Basic Materials
OLN.F,Olin Corporation,47.15,-0.35,-0.74%,11,0,6.12B,6.64,Basic Materials
WFC.F,West Fraser Timber Co. Ltd.,71.6,-1.34,-1.84%,500,1,6.084B,7.75,Basic Materials
185.F,Alcoa Corporation,32.5,-0.58,-1.75%,500,168,5.798B,,Basic Materials
HL9.MU,Holmen AB (publ),18.2,0.0,0.00%,,0,5.897B,11.9,Basic Materials
6E2.F,Endeavour Mining plc,23.2,-0.1,-0.43%,50,469,5.872B,,Basic Materials
NSC.F,Nissan Chemical Corporation,41.2,-0.4,-0.96%,59,47,5.852B,19.81,Basic Materials
FNL.F,Fresnillo plc,7.84,0.0,0.00%,"2,850",668,5.779B,22.41,Basic Materials
2R7.F,Azelis Group NV,22.66,0.0,0.00%,213,18,5.765B,25.46,Basic Materials
VAS.F,Voestalpine AG,32.74,0.0,0.00%,40,267,5.748B,6.05,Basic Materials
VASS.F,Voestalpine AG,6.3,-0.1,-1.56%,131,2,5.736B,5.73,Basic Materials
HL9D.F,Holmen AB (publ),35.2,-0.3,-0.85%,50,0,5.694B,11.35,Basic Materials
4FO.F,"Industrias Peñoles, S.A.B. de C.V.",14.2,0.0,0.00%,400,128,5.644B,50.71,Basic Materials
2R7.SG,Azelis Group NV,22.66,0.1,+0.44%,0,3,5.618B,24.37,Basic Materials
HL9C.F,Holmen AB (publ),35.17,-0.19,-0.54%,100,14,5.605B,11.49,Basic Materials
KGHA.F,KGHM Polska Miedz S.A.,26.87,0.26,+0.98%,500,196,5.46B,7.95,Basic Materials
KIN2.F,Kinross Gold Corporation,4.406,-0.056,-1.26%,900,"5,992",5.453B,146.87,Basic Materials
E5M.F,Eagle Materials Inc.,152.0,-2.0,-1.30%,45,0,5.434B,13.1,Basic Materials
FPE3.DE,Fuchs Petrolub SE,34.34,-0.24,-0.69%,"19,977","107,393",4.224B,17.23,Basic Materials
KIN2.DE,Kinross Gold Corporation,4.416,-0.042,-0.94%,36,"13,694",5.421B,147.2,Basic Materials
UTY.F,PT United Tractors Tbk,1.44,0.04,+2.86%,500,232,5.308B,3.89,Basic Materials
I93.F,Indorama Ventures Public Company Limited,0.915,0.0,0.00%,"1,000",3,5.249B,10.17,Basic Materials
CMS.F,Commercial Metals Company,43.78,0.06,+0.14%,55,0,5.172B,5.38,Basic Materials
USX1.DE,United States Steel Corporation,21.85,0.0,0.00%,514,168,5.15B,3.39,Basic Materials
TWL.F,"Simpson Manufacturing Co., Inc.",118.8,-1.1,-0.92%,6,0,5.123B,17.12,Basic Materials
PA2.F,Pan American Silver Corp.,13.9,0.18,+1.27%,150,"2,448",5.113B,,Basic Materials
CMS.DE,Commercial Metals Company,43.64,0.0,0.00%,33,3,5.111B,5.39,Basic Materials
0UV.F,Univar Solutions Inc.,32.4,-0.4,-1.22%,25,2,5.111B,12.71,Basic Materials
I93A.F,Indorama Ventures Public Company Limited,0.89,-0.01,-1.11%,"1,676",105,5.078B,11.12,Basic Materials
D1Y.F,China National Building Material Company Limited,0.5786,0.0118,+2.08%,"13,998",574,5.033B,4.82,Basic Materials
UF3.F,"UFP Industries, Inc.",80.9,0.1,+0.12%,11,2,5.024B,8.62,Basic Materials
MSI.F,"Mitsui Chemicals, Inc.",25.4,-0.2,-0.78%,6,4,4.951B,10.08,Basic Materials
USX1.F,United States Steel Corporation,21.65,0.03,+0.14%,40,30,4.902B,3.19,Basic Materials
GSM.F,"Grupo Simec, S.A.B. de C.V.",28.2,0.0,0.00%,250,4,4.853B,12.82,Basic Materials
OIC.F,OCI N.V.,22.64,0.33,+1.48%,5,877,4.857B,6.84,Basic Materials
AKQ.SG,"Industrias CH, S. A. B. de C. V.",9.65,-0.15,-1.53%,0,3,4.729B,8.39,Basic Materials
4FV.F,"Grupo Simec, S.A.B. de C.V.",10.0,-0.1,-0.99%,"3,000",53,4.724B,12.99,Basic Materials
SMM0.MU,"Sumitomo Chemical Company, Limited",14.3,0.0,0.00%,,0,4.677B,7.9,Basic Materials
47VS.F,Sibanye Stillwater Limited,6.6,-0.1,-1.49%,200,231,4.67B,4.93,Basic Materials
2CU.F,The Chemours Company,31.0,0.8,+2.65%,56,23,4.666B,9.97,Basic Materials
47V.F,Sibanye Stillwater Limited,1.64,0.0,0.00%,"2,000","11,633",4.642B,4.97,Basic Materials
SMM.F,"Sumitomo Chemical Company, Limited",2.76,-0.02,-0.72%,584,202,4.604B,7.89,Basic Materials
JYR0.MU,JSR Corporation,22.0,0.0,0.00%,,0,4.566B,30.14,Basic Materials
FPE4.SG,Fuchs Petrolub SE,8.35,-0.1,-1.18%,0,3,4.565B,17.77,Basic Materials
GCB.F,PTT Global Chemical Public Company Limited,0.99,-0.02,-1.98%,60,141,4.544B,,Basic Materials
BRD.SG,Braskem S.A.,11.0,-0.2,-1.79%,"3,000",633,4.528B,,Basic Materials
GCB1.F,PTT Global Chemical Public Company Limited,0.995,-0.045,-4.33%,240,0,4.523B,,Basic Materials
FPE.F,Fuchs Petrolub SE,29.9,0.0,0.00%,507,124,4.523B,15.82,Basic Materials
JYR.F,JSR Corporation,21.2,-0.4,-1.85%,50,0,4.51B,29.44,Basic Materials
FPE.DE,Fuchs Petrolub SE,29.85,-0.15,-0.50%,"2,306","16,237",4.5B,15.79,Basic Materials
FPE3.F,Fuchs Petrolub SE,34.44,-0.1,-0.29%,30,138,4.478B,18.22,Basic Materials
CLRS.F,Clariant AG,13.3,-0.2,-1.48%,30,6,4.46B,,Basic Materials
BRDA.F,Braskem S.A.,5.3,-0.05,-0.93%,"1,000",350,4.415B,,Basic Materials
BRD.F,Braskem S.A.,11.0,-0.1,-0.90%,500,195,4.41B,,Basic Materials
8LV.F,Livent Corporation,24.34,-0.2,-0.81%,881,"1,452",4.395B,16.01,Basic Materials
ICA.F,Orica Limited,9.6,0.0,0.00%,120,0,4.388B,24.62,Basic Materials
LYI.F,Lynas Rare Earths Limited,4.6005,0.1785,+4.04%,"8,100","7,218",4.374B,12.78,Basic Materials
1AL.F,Alamos Gold Inc.,11.02,-0.3,-2.65%,"5,331","1,364",4.351B,52.48,Basic Materials
OB8.F,PT Barito Pacific Tbk,0.034,0.0,0.00%,"38,039",0,4.342B,,Basic Materials
LYIC.F,Lynas Rare Earths Limited,4.56,0.08,+1.79%,"1,905",586,4.31B,12.32,Basic Materials
NS7.SG,Northern Star Resources Limited,8.39,0.49,+6.20%,0,188,5.215B,36.01,Basic Materials
LIS.F,Liontown Resources Limited,1.942,0.061,+3.24%,114,"9,804",4.273B,,Basic Materials
PLQ.F,Element Solutions Inc,17.3,0.0,0.00%,30,0,4.236B,26.62,Basic Materials
5BG.F,B2Gold Corp.,3.246,-0.01,-0.31%,100,"2,618",4.221B,14.75,Basic Materials
HTR.F,Huntsman Corporation,23.2,0.0,0.00%,200,0,4.208B,17.31,Basic Materials
AHT.F,Ashland Inc.,78.0,-0.5,-0.64%,20,0,4.1B,18.93,Basic Materials
UCM.F,Buzzi S.p.A.,21.8,-0.7,-3.11%,80,24,4.086B,8.72,Basic Materials
